Hotel Name (English),Hotel Name (Arabic),City,License Number,Classification,Status,Hotel ID
Almokhtara Diamond hotel,شركة المختارة الماسي للخدمات الفندقيه شخص واحد,Madinah,10008822,1-Star,Active,230404
shakaq aldura alraqiyya lishquq almakhdouma,شقق الدرة الراقية للشقق المخدومة,Madinah,10007152,2-Star,Active,289835
al bastan hotel,فندق ماسة البستان,Madinah,10007135,1-Star,Active,235810
ASIN HOTEL,فندق اسين الفندقية,Madinah,10006468,1-Star,Active,292883
Elaf Al Taqwa Hotel,فندق ايلاف التقوى,Madinah,10006022,1-Star,Active,235767
Sama AlMadina Hotel,فندق سما المدينة الفندقية,Madinah,10006444,1-Star,Active,250454
Karma Al Madaen Hotel,فندق كارمة المدائن الفندقية,Madinah,10006438,1-Star,Active,255115
Emaar Al Maktan Hotel,فندق اعمار مكتان الفندقية,Madinah,10006414,3-Star,Active,244715
Durrat Al Madinah Hotel Company,شركة درة المدينة الفندقية,Madinah,10006361,1-Star,Active,225034
OWNARA STAY COMPANY,شركة أونارا ستاي,Madinah,10006350,2-Star,Active,262838
DYAFAT ALATHEL INVESTMENT CO,شركة ضيافة الأثيل للاستثمار,Madinah,10011297,1-Star,Active,290535
Laylah Wahedah Hotel Est,مؤسسة فندق ليلة واحدة الفندقية,Madinah,10010598,1-Star,Active,299121
Maysan Al Taqwa Hotel,مجموعة ميسان الدولية,Madinah,10010592,1-Star,Active,239195
Abraj Al Diafa,شركة ابراج الضيافة واحد لتشغيل الفنادق,Madinah,10010670,1-Star,Active,254575
Zahrat Ithnan Hotel,فندق زهرة اثنان,Madinah,10010986,1-Star,Active,288337
Zahrat Taiba Khamsa Hotel,فندق زهرة طيبة خمسة الفندقية,Madinah,10010985,1-Star,Active,288375
Millennium Madinah Airport Hotel,شركة فندق مطار المدينة ميلينيوم,Madinah,10008820,Unclassified/Other,Active,272587
Manazili Medina Hotel,فندق منازلي المدينة,Madinah,10008819,1-Star,Active,235924
Diyar Al Huda Hotel,فندق ديار الهدى الفندقية,Madinah,10008814,1-Star,Active,230644
Golden Palace Hotel,فندق قصر الاندلس الذهبي,Madinah,10008811,1-Star,Active,235750
Tabah Towers Limited Company,شركة أبراج طابة المحدودة (شركة شخص واحد),Madinah,10008808,1-Star,Active,225206
Jawar Taiba Hotel,فندق جوار طيبة الفندقية,Madinah,10008833,1-Star,Active,227612
Hayah Diamond Hotel,شركة حياة الماسي للخدمات الفندقيه,Madinah,10008806,1-Star,Active,247466
KINAN SUITE HOTEL,فندق كنان سويت الفندقية,Madinah,10007924,1-Star,Active,301855
Hill Hotel,فندق هيل,Madinah,10010157,1-Star,Active,235884
Nasamat Hotel,شركة نسمات الفندقية,Madinah,10010154,1-Star,Active,227831
Dakhil Bin Naqa Bin Shenishil Al Rahili Serviced A,شقق دخيل بن نقا بن شنيشيل الرحيلي للشقق المخدومة,Madinah,10005718,2-Star,Active,288518
EMAAR ROYAL,فندق اعمار رويال للخدمات الفندقية,Madinah,10007095,3-Star,Active,232162
TAJ AL-EIMAN HOTEL,فندق تاج الإيمان الفندقية,Madinah,10007072,2-Star,Active,244776
Safwa City Hotel,فندق صفوة المدينة الفندقية,Madinah,10006318,1-Star,Active,227604
Sky ViewHotel,فندق سكاي فيو,Madinah,10006293,1-Star,Active,235920
shaqaq adiwa' alsalam lilshuqaq almakhduma,شقق اضواء السلام للشقق المخدومة,Madinah,10006236,2-Star,Active,269348
raqaz,فندق ركاز الماسي الفندقية,Madinah,10006232,2-Star,Active,269062
SOFITEL SHAHD ALMADINAH,فندق سوفتيل  شهد المدينة,Madinah,10007643,5-Star,Active,235834
Jawharat Al Rasheed Hotel,فندق جوهرة الرشيد,Madinah,10007642,1-Star,Active,222957
verdun hotel,فندق فيردان الفندقية,Madinah,10007641,1-Star,Active,269762
Hotel manazl al majd hotel,فندق منازل المجد الفندقية,Madinah,10010723,1-Star,Active,259295
RAHAT ALUBUR COMPANY,شركة راحه العبور,Madinah,10010994,Unclassified/Other,Active,288955
Wisam Al Alami Hotel,شركة وسام العالمي الفندقية شخص واحد,Madinah,10010146,1-Star,Active,230637
HOWE INN for hotel services,شركة هاو إن للخدمات الفندقيه,Madinah,10009450,1-Star,Active,256718
Jahina al masi Apartments,شقق جهينة الماسي,Madinah,10009448,Unclassified/Other,Active,235769
Shaza Al Baraka Tourist Hospitality Hotel,فندق شذا البركة للضيافة السياحي,Madinah,10009446,1-Star,Active,227571
Orchid Hotel,فندق الأوركيدا,Madinah,10009358,1-Star,Active,254475
Retaj Al Rawdah Hotel Establishment,مؤسسة رتاج الروضة الفندقية,Madinah,10009351,1-Star,Active,227592
manazil alsaadiq,منازل الصادق ,Madinah,10009344,1-Star,Active,235788
MADINAH ARAM HOTEL,فندق آرام المدينة للضيافة السياحي,Madinah,10009432,1-Star,Active,254495
Areek Taiba,شركة اريك طيبة للخدمات الفندقيه,Madinah,10008804,1-Star,Active,235804
Rua Alfakhama Hotel,فندق رؤى الفخامة,Madinah,10008797,1-Star,Active,224753
Sila Hotel Establishment,مؤسسة صلة الفندقية,Madinah,10007621,1-Star,Active,271476
View Almadina Hotel,فندق فيو المدينة,Madinah,10007051,1-Star,Active,235842
Saraya Taibh Hotel,فندق سرايا طيبة,Madinah,10004948,1-Star,Active,235748
AL SADD AL KHALEJE HOTEL,فندق السد الخليجي الفندقية,Madinah,10007427,1-Star,Active,258935
Diyar Al Hijaz Diamond Hotel,فندق ديار الحجاز الماسي الفندقية,Madinah,10007593,1-Star,Active,228536
Makarim Suites Serviced Apartments Company,شركة اجنحة مكارم للشقق المخدومة,Madinah,10007048,2-Star,Active,244477
Rotana Almesk Hotel,فندق روتانا المسك,Madinah,10004058,2-Star,Active,235738
Salsabeel Almasy Hotel,مؤسسة سلسبيل الماسية الفندقية,Madinah,10007567,1-Star,Active,259395
Golden City Hotel,فندق المدينة الذهبي الفندقية,Madinah,10006997,1-Star,Active,224982
LAMARTAIBA SERVICED APARTMENTS,شقق لمار طيبة للشقق المخدومة,Madinah,10007521,2-Star,Active,242968
Nada Taiba For Tourist Hostel,نزل ندى طيبة للنزل السياحيه,Madinah,10011585,Unclassified/Other,Active,291855
roaa,روى الاندلس,Madinah,10008790,1-Star,Active,235770
Karam Al Madina Hotel,فندق كرم المدينة الفندقية,Madinah,10008744,1-Star,Active,224791
rooy alandalus,رؤيا الاندلس,Madinah,10008787,1-Star,Active,235798
Saraya Harmony Hotel (A),فندق سرايا هارموني (أ),Madinah,10008781,1-Star,Active,235777
Luma Serviced Apartments Company,شركة شقق لوما للشقق المخدومة,Madinah,10008779,2-Star,Active,271458
